# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-12 14:21:48 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
"#    USGS 08354900 RIO GRANDE FLOODWAY AT SAN ACACIA, NM"
# -----------------------------------------------------------------------------------
#
# Data provided for site 08354900
#            TS   parameter     statistic     Description
"#         99930       00060     00003     Discharge, cubic feet per second (Mean)"
USGS    08354900        2003-02-05      616     A
USGS    08354900        2003-02-06      621     A
USGS    08354900        2003-02-07      639     A
USGS    08354900        2003-02-08      692     A
USGS    08354900        2003-02-09      702     A
USGS    08354900        2003-02-10      583     A
USGS    08354900        2003-02-11      516     A
USGS    08354900        2003-02-12      492     A
USGS    08354900        2003-02-13      458     A
USGS    08354900        2003-02-14      446     A
USGS    08354900        2003-02-15      500     A
USGS    08354900        2003-02-16      697     A
USGS    08354900        2003-02-17      700     A
USGS    08354900        2003-02-18      838     A
USGS    08354900        2003-02-19      735     A
USGS    08354900        2003-02-20      582     A
USGS    08354900        2003-02-21      501     A
USGS    08354900        2003-02-22      697     A
USGS    08354900        2003-02-23      686     A
USGS    08354900        2003-02-24      554     A
USGS    08354900        2003-02-25      530     A
USGS    08354900        2003-02-26      473     A
USGS    08354900        2003-02-27      423     A
USGS    08354900        2003-02-28      311     A
USGS    08354900        2003-03-01      334     A
USGS    08354900        2003-03-02      355     A
USGS    08354900        2003-03-03      445     A
USGS    08354900        2003-03-04      380     A
USGS    08354900        2003-03-05      345     A
USGS    08354900        2003-03-06      312     A
USGS    08354900        2003-03-07      275     A
USGS    08354900        2003-03-08      232     A
USGS    08354900        2003-03-09      233     A
USGS    08354900        2003-03-10      256     A
USGS    08354900        2003-03-11      277     A
USGS    08354900        2003-03-12      269     A
USGS    08354900        2003-03-13      206     A
USGS    08354900        2003-03-14      177     A
USGS    08354900        2003-03-15      187     A
USGS    08354900        2003-03-16      204     A
USGS    08354900        2003-03-17      196     A
USGS    08354900        2003-03-18      187     A
USGS    08354900        2003-03-19      200     A
USGS    08354900        2003-03-20      272     A
USGS    08354900        2003-03-21      692     A
USGS    08354900        2003-03-22      589     A
USGS    08354900        2003-03-23      1300    A
USGS    08354900        2003-03-24      525     A
USGS    08354900        2003-03-25      440     A
USGS    08354900        2003-03-26      320     A
USGS    08354900        2003-03-27      243     A
USGS    08354900        2003-03-28      235     A
USGS    08354900        2003-03-29      219     A
USGS    08354900        2003-03-30      245     A:e
USGS    08354900        2003-03-31      365     A
USGS    08354900        2003-04-01      322     A
USGS    08354900        2003-04-02      238     A
USGS    08354900        2003-04-03      199     A
USGS    08354900        2003-04-04      169     A
USGS    08354900        2003-04-05      188     A
USGS    08354900        2003-04-06      196     A
USGS    08354900        2003-04-07      160     A
USGS    08354900        2003-04-08      150     A
USGS    08354900        2003-04-09      152     A
USGS    08354900        2003-04-10      144     A
USGS    08354900        2003-04-11      136     A
USGS    08354900        2003-04-12      144     A
USGS    08354900        2003-04-13      145     A
USGS    08354900        2003-04-14      126     A
USGS    08354900        2003-04-15      113     A
USGS    08354900        2003-04-16      105     A
USGS    08354900        2003-04-17      128     A
USGS    08354900        2003-04-18      190     A
USGS    08354900        2003-04-19      230     A
USGS    08354900        2003-04-20      425     A
USGS    08354900        2003-04-21      506     A
USGS    08354900        2003-04-22      541     A
USGS    08354900        2003-04-23      454     A
USGS    08354900        2003-04-24      339     A
USGS    08354900        2003-04-25      378     A
USGS    08354900        2003-04-26      413     A
USGS    08354900        2003-04-27      445     A
USGS    08354900        2003-04-28      310     A
USGS    08354900        2003-04-29      247     A
USGS    08354900        2003-04-30      237     A
USGS    08354900        2003-05-01      205     A
USGS    08354900        2003-05-02      286     A
USGS    08354900        2003-05-03      505     A
USGS    08354900        2003-05-04      749     A
USGS    08354900        2003-05-05      587     A
USGS    08354900        2003-05-06      359     A
USGS    08354900        2003-05-07      336     A
USGS    08354900        2003-05-08      248     A
USGS    08354900        2003-05-09      174     A
USGS    08354900        2003-05-10      182     A
USGS    08354900        2003-05-11      178     A
USGS    08354900        2003-05-12      193     A
USGS    08354900        2003-05-13      149     A
USGS    08354900        2003-05-14      148     A
USGS    08354900        2003-05-15      147     A
USGS    08354900        2003-05-16      141     A
USGS    08354900        2003-05-17      223     A
USGS    08354900        2003-05-18      662     A
USGS    08354900        2003-05-19      755     A
USGS    08354900        2003-05-20      562     A
USGS    08354900        2003-05-21      283     A
USGS    08354900        2003-05-22      280     A
USGS    08354900        2003-05-23      228     A
USGS    08354900        2003-05-24      219     A
USGS    08354900        2003-05-25      237     A
USGS    08354900        2003-05-26      230     A
USGS    08354900        2003-05-27      238     A
USGS    08354900        2003-05-28      633     A
USGS    08354900        2003-05-29      569     A
USGS    08354900        2003-05-30      702     A
USGS    08354900        2003-05-31      621     A
USGS    08354900        2003-06-01      796     A
USGS    08354900        2003-06-02      669     A
USGS    08354900        2003-06-03      406     A
USGS    08354900        2003-06-04      315     A
USGS    08354900        2003-06-05      265     A
USGS    08354900        2003-06-06      254     A
USGS    08354900        2003-06-07      204     A
USGS    08354900        2003-06-08      161     A
USGS    08354900        2003-06-09      155     A
USGS    08354900        2003-06-10      122     A
USGS    08354900        2003-06-11      117     A
USGS    08354900        2003-06-12      98.8    A
USGS    08354900        2003-06-13      74.3    A
USGS    08354900        2003-06-14      68.9    A
USGS    08354900        2003-06-15      80.4    A
USGS    08354900        2003-06-16      60.5    A
USGS    08354900        2003-06-17      91.4    A
USGS    08354900        2003-06-18      65.3    A
USGS    08354900        2003-06-19      69.7    A
USGS    08354900        2003-06-20      98.3    A
USGS    08354900        2003-06-21      93.8    A
USGS    08354900        2003-06-22      77.0    A
USGS    08354900        2003-06-23      71.9    A
USGS    08354900        2003-06-24      64.1    A
USGS    08354900        2003-06-25      59.7    A
USGS    08354900        2003-06-26      49.4    A
USGS    08354900        2003-06-27      45.8    A
USGS    08354900        2003-06-28      41.3    A
USGS    08354900        2003-06-29      41.4    A
USGS    08354900        2003-06-30      43.2    A
USGS    08354900        2003-07-01      39.8    A
USGS    08354900        2003-07-02      32.5    A
USGS    08354900        2003-07-03      28.1    A
USGS    08354900        2003-07-04      27.2    A
USGS    08354900        2003-07-05      26.1    A
USGS    08354900        2003-07-06      25.2    A
USGS    08354900        2003-07-07      25.0    A
USGS    08354900        2003-07-08      23.5    A
USGS    08354900        2003-07-09      22.4    A
USGS    08354900        2003-07-10      21.2    A
USGS    08354900        2003-07-11      20.2    A
USGS    08354900        2003-07-12      20.1    A
USGS    08354900        2003-07-13      19.9    A
USGS    08354900        2003-07-14      19.4    A
USGS    08354900        2003-07-15      18.3    A
USGS    08354900        2003-07-16      16.4    A
USGS    08354900        2003-07-17      14.8    A
USGS    08354900        2003-07-18      13.8    A
USGS    08354900        2003-07-19      13.4    A
USGS    08354900        2003-07-20      12.8    A
USGS    08354900        2003-07-21      12.1    A
USGS    08354900        2003-07-22      11.5    A
USGS    08354900        2003-07-23      11.2    A
USGS    08354900        2003-07-24      10.8    A
USGS    08354900        2003-07-25      10.3    A
USGS    08354900        2003-07-26      9.77    A
USGS    08354900        2003-07-27      9.37    A
USGS    08354900        2003-07-28      8.95    A
USGS    08354900        2003-07-29      11.1    A
USGS    08354900        2003-07-30      6.80    A:e
USGS    08354900        2003-07-31      6.10    A:e
USGS    08354900        2003-08-01      5.40    A:e
USGS    08354900        2003-08-02      4.80    A:e
USGS    08354900        2003-08-03      4.20    A:e
USGS    08354900        2003-08-04      3.80    A:e
USGS    08354900        2003-08-05      3.80    A:e
USGS    08354900        2003-08-06      3.70    A:e
USGS    08354900        2003-08-07      3.80    A:e
USGS    08354900        2003-08-08      4.20    A:e
USGS    08354900        2003-08-09      4.30    A:e
USGS    08354900        2003-08-10      4.20    A:e
USGS    08354900        2003-08-11      4.10    A:e
USGS    08354900        2003-08-12      3.90    A:e
USGS    08354900        2003-08-13      4.10    A:e
USGS    08354900        2003-08-14      4.40    A:e
USGS    08354900        2003-08-15      4.30    A:e
USGS    08354900        2003-08-16      4.30    A:e
USGS    08354900        2003-08-17      4.30    A:e
USGS    08354900        2003-08-18      4.30    A:e
USGS    08354900        2003-08-19      4.30    A:e
USGS    08354900        2003-08-20      4.30    A:e
USGS    08354900        2003-08-21      4.30    A:e
USGS    08354900        2003-08-22      4.30    A:e
USGS    08354900        2003-08-23      4.10    A:e
USGS    08354900        2003-08-24      4.00    A:e
USGS    08354900        2003-08-25      3.70    A:e
USGS    08354900        2003-08-26      4.10    A:e
USGS    08354900        2003-08-27      3.90    A:e
USGS    08354900        2003-08-28      3.50    A:e
USGS    08354900        2003-08-29      3.60    A:e
USGS    08354900        2003-08-30      5.60    A:e
USGS    08354900        2003-08-31      4.00    A:e
USGS    08354900        2003-09-01      4.40    A:e
USGS    08354900        2003-09-02      5.00    A:e
USGS    08354900        2003-09-03      6.00    A:e
USGS    08354900        2003-09-04      7.00    A:e
USGS    08354900        2003-09-05      5.00    A:e
USGS    08354900        2003-09-06      4.80    A:e
USGS    08354900        2003-09-07      70.3    A
USGS    08354900        2003-09-08      73.7    A
USGS    08354900        2003-09-09      180     A
USGS    08354900        2003-09-10      162     A
USGS    08354900        2003-09-11      383     A
USGS    08354900        2003-09-12      561     A
USGS    08354900        2003-09-13      786     A
USGS    08354900        2003-09-14      2160    A
USGS    08354900        2003-09-15      992     A
USGS    08354900        2003-09-16      164     A
USGS    08354900        2003-09-17      100     A:e
USGS    08354900        2003-09-18      50.0    A:e
USGS    08354900        2003-09-19      19.0    A:e
USGS    08354900        2003-09-20      21.0    A
USGS    08354900        2003-09-21      0.70    A:e
USGS    08354900        2003-09-22      0.40    A:e
USGS    08354900        2003-09-23      0.35    A:e
USGS    08354900        2003-09-24      0.35    A:e
USGS    08354900        2003-09-25      0.40    A:e
USGS    08354900        2003-09-26      0.42    A:e
USGS    08354900        2003-09-27      0.70    A:e
USGS    08354900        2003-09-28      1.40    A:e
USGS    08354900        2003-09-29      1.90    A:e
USGS    08354900        2003-09-30      2.20    A:e
USGS    08354900        2003-10-01      2.84    A
USGS    08354900        2003-10-02      6.41    A
USGS    08354900        2003-10-03      9.05    A
USGS    08354900        2003-10-04      15.1    A
USGS    08354900        2003-10-05      12.9    A
USGS    08354900        2003-10-06      13.7    A
USGS    08354900        2003-10-07      313     A
USGS    08354900        2003-10-08      414     A
USGS    08354900        2003-10-09      422     A
USGS    08354900        2003-10-10      273     A
USGS    08354900        2003-10-11      262     A
USGS    08354900        2003-10-12      244     A
USGS    08354900        2003-10-13      266     A
USGS    08354900        2003-10-14      308     A
USGS    08354900        2003-10-15      205     A
USGS    08354900        2003-10-16      161     A
USGS    08354900        2003-10-17      149     A
USGS    08354900        2003-10-18      129     A
USGS    08354900        2003-10-19      107     A
USGS    08354900        2003-10-20      77.5    A
USGS    08354900        2003-10-21      42.1    A
USGS    08354900        2003-10-22      74.6    A
USGS    08354900        2003-10-23      62.9    A
USGS    08354900        2003-10-24      66.9    A
USGS    08354900        2003-10-25      54.6    A
USGS    08354900        2003-10-26      59.2    A
USGS    08354900        2003-10-27      49.8    A
USGS    08354900        2003-10-28      47.3    A
USGS    08354900        2003-10-29      77.5    A
USGS    08354900        2003-10-30      92.5    A
USGS    08354900        2003-10-31      76.7    A
USGS    08354900        2003-11-01      188     A
USGS    08354900        2003-11-02      195     A
USGS    08354900        2003-11-03      219     A
USGS    08354900        2003-11-04      236     A
USGS    08354900        2003-11-05      246     A
USGS    08354900        2003-11-06      252     A
USGS    08354900        2003-11-07      261     A
USGS    08354900        2003-11-08      277     A
USGS    08354900        2003-11-09      302     A
USGS    08354900        2003-11-10      310     A
USGS    08354900        2003-11-11      316     A
USGS    08354900        2003-11-12      338     A
USGS    08354900        2003-11-13      362     A
USGS    08354900        2003-11-14      401     A
USGS    08354900        2003-11-15      488     A
USGS    08354900        2003-11-16      507     A
USGS    08354900        2003-11-17      489     A
USGS    08354900        2003-11-18      481     A
USGS    08354900        2003-11-19      478     A
USGS    08354900        2003-11-20      488     A
USGS    08354900        2003-11-21      510     A
USGS    08354900        2003-11-22      521     A
USGS    08354900        2003-11-23      516     A
USGS    08354900        2003-11-24      500     A
USGS    08354900        2003-11-25      493     A
USGS    08354900        2003-11-26      525     A
USGS    08354900        2003-11-27      545     A
USGS    08354900        2003-11-28      605     A
USGS    08354900        2003-11-29      630     A
USGS    08354900        2003-11-30      620     A
USGS    08354900        2003-12-01      628     A
USGS    08354900        2003-12-02      585     A
USGS    08354900        2003-12-03      582     A
USGS    08354900        2003-12-04      572     A
USGS    08354900        2003-12-05      591     A
USGS    08354900        2003-12-06      605     A
USGS    08354900        2003-12-07      627     A
USGS    08354900        2003-12-08      617     A
USGS    08354900        2003-12-09      568     A
USGS    08354900        2003-12-10      571     A
USGS    08354900        2003-12-11      559     A
USGS    08354900        2003-12-12      587     A
USGS    08354900        2003-12-13      634     A
USGS    08354900        2003-12-14      610     A
USGS    08354900        2003-12-15      578     A
USGS    08354900        2003-12-16      520     A
USGS    08354900        2003-12-17      497     A
USGS    08354900        2003-12-18      515     A
USGS    08354900        2003-12-19      564     A
USGS    08354900        2003-12-20      567     A
USGS    08354900        2003-12-21      563     A
USGS    08354900        2003-12-22      539     A
USGS    08354900        2003-12-23      556     A
USGS    08354900        2003-12-24      552     A
USGS    08354900        2003-12-25      561     A
USGS    08354900        2003-12-26      650     A
USGS    08354900        2003-12-27      698     A
USGS    08354900        2003-12-28      649     A
USGS    08354900        2003-12-29      641     A
USGS    08354900        2003-12-30      646     A
USGS    08354900        2003-12-31      627     A
USGS    08354900        2004-01-01      563     A
USGS    08354900        2004-01-02      481     A
USGS    08354900        2004-01-03      481     A
USGS    08354900        2004-01-04      506     A
USGS    08354900        2004-01-05      523     A
USGS    08354900        2004-01-06      565     A
USGS    08354900        2004-01-07      561     A
USGS    08354900        2004-01-08      557     A
USGS    08354900        2004-01-09      551     A
USGS    08354900        2004-01-10      509     A
USGS    08354900        2004-01-11      518     A
USGS    08354900        2004-01-12      542     A
USGS    08354900        2004-01-13      561     A
USGS    08354900        2004-01-14      565     A
USGS    08354900        2004-01-15      568     A
USGS    08354900        2004-01-16      582     A
USGS    08354900        2004-01-17      572     A
USGS    08354900        2004-01-18      576     A
USGS    08354900        2004-01-19      593     A
USGS    08354900        2004-01-20      629     A
USGS    08354900        2004-01-21      647     A
USGS    08354900        2004-01-22      649     A
USGS    08354900        2004-01-23      648     A
USGS    08354900        2004-01-24      660     A
USGS    08354900        2004-01-25      678     A
USGS    08354900        2004-01-26      674     A
USGS    08354900        2004-01-27      644     A
USGS    08354900        2004-01-28      638     A
USGS    08354900        2004-01-29      631     A
USGS    08354900        2004-01-30      656     A
USGS    08354900        2004-01-31      608     A
USGS    08354900        2004-02-01      565     A
USGS    08354900        2004-02-02      548     A
USGS    08354900        2004-02-03      544     A
USGS    08354900        2004-02-04      540     A
USGS    08354900        2004-02-05      541     A
USGS    08354900        2004-02-06      539     A
USGS    08354900        2004-02-07      545     A
USGS    08354900        2004-02-08      557     A
USGS    08354900        2004-02-09      565     A
USGS    08354900        2004-02-10      571     A
USGS    08354900        2004-02-11      576     A
USGS    08354900        2004-02-12      577     A
USGS    08354900        2004-02-13      569     A
USGS    08354900        2004-02-14      556     A
USGS    08354900        2004-02-15      525     A
USGS    08354900        2004-02-16      536     A
USGS    08354900        2004-02-17      537     A
USGS    08354900        2004-02-18      539     A
USGS    08354900        2004-02-19      537     A
USGS    08354900        2004-02-20      531     A
USGS    08354900        2004-02-21      529     A
USGS    08354900        2004-02-22      539     A
USGS    08354900        2004-02-23      554     A
USGS    08354900        2004-02-24      590     A
USGS    08354900        2004-02-25      602     A
USGS    08354900        2004-02-26      899     A
USGS    08354900        2004-02-27      628     A
USGS    08354900        2004-02-28      604     A
USGS    08354900        2004-02-29      580     A
USGS    08354900        2004-03-01      532     A
USGS    08354900        2004-03-02      558     A
USGS    08354900        2004-03-03      535     A
USGS    08354900        2004-03-04      545     A
USGS    08354900        2004-03-05      555     A
USGS    08354900        2004-03-06      679     A
USGS    08354900        2004-03-07      723     A
USGS    08354900        2004-03-08      580     A
USGS    08354900        2004-03-09      546     A
USGS    08354900        2004-03-10      499     A
USGS    08354900        2004-03-11      482     A
USGS    08354900        2004-03-12      442     A
USGS    08354900        2004-03-13      459     A
USGS    08354900        2004-03-14      480     A
USGS    08354900        2004-03-15      518     A
USGS    08354900        2004-03-16      519     A
USGS    08354900        2004-03-17      495     A
USGS    08354900        2004-03-18      610     A
USGS    08354900        2004-03-19      814     A
USGS    08354900        2004-03-20      836     A
USGS    08354900        2004-03-21      882     A
USGS    08354900        2004-03-22      813     A
USGS    08354900        2004-03-23      801     A
USGS    08354900        2004-03-24      666     A
USGS    08354900        2004-03-25      626     A
USGS    08354900        2004-03-26      635     A
USGS    08354900        2004-03-27      672     A
USGS    08354900        2004-03-28      752     A
USGS    08354900        2004-03-29      946     A
USGS    08354900        2004-03-30      1060    A
USGS    08354900        2004-03-31      1070    A
USGS    08354900        2004-04-01      1650    A
USGS    08354900        2004-04-02      1680    A
USGS    08354900        2004-04-03      1490    A
USGS    08354900        2004-04-04      3160    A
USGS    08354900        2004-04-05      2740    A
USGS    08354900        2004-04-06      2730    A
USGS    08354900        2004-04-07      2750    A
USGS    08354900        2004-04-08      3180    A
USGS    08354900        2004-04-09      2590    A
USGS    08354900        2004-04-10      2670    A
USGS    08354900        2004-04-11      2480    A
USGS    08354900        2004-04-12      2640    A
USGS    08354900        2004-04-13      2590    A
USGS    08354900        2004-04-14      2420    A
USGS    08354900        2004-04-15      1960    A
USGS    08354900        2004-04-16      1960    A
USGS    08354900        2004-04-17      1930    A
USGS    08354900        2004-04-18      1640    A
USGS    08354900        2004-04-19      1530    A
USGS    08354900        2004-04-20      1350    A
USGS    08354900        2004-04-21      1230    A
USGS    08354900        2004-04-22      1330    A
USGS    08354900        2004-04-23      1210    A
USGS    08354900        2004-04-24      1090    A
USGS    08354900        2004-04-25      862     A
USGS    08354900        2004-04-26      710     A
USGS    08354900        2004-04-27      645     A
USGS    08354900        2004-04-28      456     A
USGS    08354900        2004-04-29      349     A
USGS    08354900        2004-04-30      311     A
USGS    08354900        2004-05-01      324     A
USGS    08354900        2004-05-02      368     A
USGS    08354900        2004-05-03      465     A
USGS    08354900        2004-05-04      493     A
USGS    08354900        2004-05-05      471     A
USGS    08354900        2004-05-06      725     A
USGS    08354900        2004-05-07      1070    A
USGS    08354900        2004-05-08      1170    A
USGS    08354900        2004-05-09      1480    A
USGS    08354900        2004-05-10      2160    A
USGS    08354900        2004-05-11      2060    A
USGS    08354900        2004-05-12      1910    A
USGS    08354900        2004-05-13      1860    A
USGS    08354900        2004-05-14      1970    A
USGS    08354900        2004-05-15      2200    A
USGS    08354900        2004-05-16      2270    A
USGS    08354900        2004-05-17      2320    A
USGS    08354900        2004-05-18      2230    A
USGS    08354900        2004-05-19      1690    A
USGS    08354900        2004-05-20      1480    A
USGS    08354900        2004-05-21      1430    A
USGS    08354900        2004-05-22      1260    A
USGS    08354900        2004-05-23      1430    A
USGS    08354900        2004-05-24      1560    A
USGS    08354900        2004-05-25      1520    A
USGS    08354900        2004-05-26      1320    A
USGS    08354900        2004-05-27      1200    A
USGS    08354900        2004-05-28      947     A
USGS    08354900        2004-05-29      859     A
USGS    08354900        2004-05-30      694     A
USGS    08354900        2004-05-31      659     A
USGS    08354900        2004-06-01      506     A
USGS    08354900        2004-06-02      422     A
USGS    08354900        2004-06-03      380     A
USGS    08354900        2004-06-04      310     A:e
USGS    08354900        2004-06-05      240     A:e
USGS    08354900        2004-06-06      170     A:e
USGS    08354900        2004-06-07      190     A:e
USGS    08354900        2004-06-08      168     A
USGS    08354900        2004-06-09      172     A
USGS    08354900        2004-06-10      191     A
USGS    08354900        2004-06-11      196     A
USGS    08354900        2004-06-12      173     A
USGS    08354900        2004-06-13      171     A
USGS    08354900        2004-06-14      152     A
USGS    08354900        2004-06-15      140     A
USGS    08354900        2004-06-16      118     A
USGS    08354900        2004-06-17      117     A
USGS    08354900        2004-06-18      112     A
USGS    08354900        2004-06-19      103     A
USGS    08354900        2004-06-20      92.0    A
USGS    08354900        2004-06-21      79.0    A
USGS    08354900        2004-06-22      71.9    A
USGS    08354900        2004-06-23      61.4    A
USGS    08354900        2004-06-24      54.4    A
USGS    08354900        2004-06-25      46.6    A
USGS    08354900        2004-06-26      42.8    A
USGS    08354900        2004-06-27      40.1    A
USGS    08354900        2004-06-28      39.6    A
USGS    08354900        2004-06-29      101     A
USGS    08354900        2004-06-30      290     A
USGS    08354900        2004-07-01      272     A
USGS    08354900        2004-07-02      258     A
USGS    08354900        2004-07-03      224     A
USGS    08354900        2004-07-04      157     A
USGS    08354900        2004-07-05      144     A
USGS    08354900        2004-07-06      119     A
USGS    08354900        2004-07-07      79.8    A
USGS    08354900        2004-07-08      45.2    A
USGS    08354900        2004-07-09      38.7    A
USGS    08354900        2004-07-10      33.5    A
USGS    08354900        2004-07-11      27.0    A
USGS    08354900        2004-07-12      24.6    A
USGS    08354900        2004-07-13      18.2    A
USGS    08354900        2004-07-14      14.4    A
USGS    08354900        2004-07-15      15.4    A
USGS    08354900        2004-07-16      16.1    A
USGS    08354900        2004-07-17      16.6    A
USGS    08354900        2004-07-18      17.4    A
USGS    08354900        2004-07-19      17.7    A
USGS    08354900        2004-07-20      18.3    A
USGS    08354900        2004-07-21      18.7    A
USGS    08354900        2004-07-22      48.0    A
USGS    08354900        2004-07-23      249     A
USGS    08354900        2004-07-24      398     A
USGS    08354900        2004-07-25      712     A
USGS    08354900        2004-07-26      630     A
USGS    08354900        2004-07-27      1040    A
USGS    08354900        2004-07-28      866     A
USGS    08354900        2004-07-29      1230    A
USGS    08354900        2004-07-30      812     A
USGS    08354900        2004-07-31      212     A
USGS    08354900        2004-08-01      138     A
USGS    08354900        2004-08-02      104     A
USGS    08354900        2004-08-03      375     A
USGS    08354900        2004-08-04      155     A
USGS    08354900        2004-08-05      137     A
USGS    08354900        2004-08-06      150     A:e
USGS    08354900        2004-08-07      100     A:e
USGS    08354900        2004-08-08      70.0    A:e
USGS    08354900        2004-08-09      45.0    A:e
USGS    08354900        2004-08-10      17.7    A
USGS    08354900        2004-08-11      8.00    A:e
USGS    08354900        2004-08-12      10.0    A:e
USGS    08354900        2004-08-13      5.00    A:e
USGS    08354900        2004-08-14      7.43    A
USGS    08354900        2004-08-15      0.00    A
USGS    08354900        2004-08-16      30.2    A
USGS    08354900        2004-08-17      344     A
USGS    08354900        2004-08-18      333     A
USGS    08354900        2004-08-19      156     A
USGS    08354900        2004-08-20      74.5    A
USGS    08354900        2004-08-21      51.6    A
USGS    08354900        2004-08-22      45.0    A
USGS    08354900        2004-08-23      46.3    A
USGS    08354900        2004-08-24      57.7    A
USGS    08354900        2004-08-25      12.3    A
USGS    08354900        2004-08-26      12.9    A
USGS    08354900        2004-08-27      14.1    A
USGS    08354900        2004-08-28      11.8    A
USGS    08354900        2004-08-29      9.34    A
USGS    08354900        2004-08-30      7.67    A
USGS    08354900        2004-08-31      4.86    A
USGS    08354900        2004-09-01      1.89    A
USGS    08354900        2004-09-02      7.01    A
USGS    08354900        2004-09-03      5.42    A
USGS    08354900        2004-09-04      4.61    A
USGS    08354900        2004-09-05      5.91    A
USGS    08354900        2004-09-06      5.53    A
USGS    08354900        2004-09-07      2.20    A
USGS    08354900        2004-09-08      0.86    A
USGS    08354900        2004-09-09      0.00    A
USGS    08354900        2004-09-10      0.09    A
USGS    08354900        2004-09-11      0.00    A
USGS    08354900        2004-09-12      0.77    A
USGS    08354900        2004-09-13      0.82    A
USGS    08354900        2004-09-14      0.81    A
USGS    08354900        2004-09-15      0.73    A
USGS    08354900        2004-09-16      0.46    A
USGS    08354900        2004-09-17      1.13    A
USGS    08354900        2004-09-18      1.50    A
USGS    08354900        2004-09-19      1.77    A
USGS    08354900        2004-09-20      1.86    A
USGS    08354900        2004-09-21      2.54    A
USGS    08354900        2004-09-22      2.31    A
USGS    08354900        2004-09-23      1.78    A
USGS    08354900        2004-09-24      4.72    A
USGS    08354900        2004-09-25      5.22    A
USGS    08354900        2004-09-26      2.86    A
USGS    08354900        2004-09-27      2.05    A
USGS    08354900        2004-09-28      1.47    A
USGS    08354900        2004-09-29      2.73    A
USGS    08354900        2004-09-30      2.15    A
USGS    08354900        2004-10-01      2.69    A
USGS    08354900        2004-10-02      9.13    A
USGS    08354900        2004-10-03      13.8    A
USGS    08354900        2004-10-04      4.38    A
USGS    08354900        2004-10-05      4.25    A
USGS    08354900        2004-10-06      124     A
USGS    08354900        2004-10-07      278     A
USGS    08354900        2004-10-08      473     A
USGS    08354900        2004-10-09      229     A
USGS    08354900        2004-10-10      174     A
USGS    08354900        2004-10-11      164     A
USGS    08354900        2004-10-12      199     A
USGS    08354900        2004-10-13      260     A
USGS    08354900        2004-10-14      273     A
