"Date","Mean_cfs"
2004-02-18,539
2004-02-19,537
2004-02-20,531
2004-02-21,529
2004-02-22,539
2004-02-23,554
2004-02-24,590
2004-02-25,602
2004-02-26,899
2004-02-27,628
2004-02-28,604
2004-02-29,580
2004-03-01,532
2004-03-02,558
2004-03-03,535
2004-03-04,545
2004-03-05,555
2004-03-06,679
2004-03-07,723
2004-03-08,580
2004-03-09,546
2004-03-10,499
2004-03-11,482
2004-03-12,442
2004-03-13,459
2004-03-14,480
2004-03-15,518
2004-03-16,519
2004-03-17,495
2004-03-18,610
2004-03-19,814
2004-03-20,836
2004-03-21,882
2004-03-22,813
2004-03-23,801
2004-03-24,666
2004-03-25,626
2004-03-26,635
2004-03-27,672
2004-03-28,752
2004-03-29,946
2004-03-30,1060
2004-03-31,1070
2004-04-01,1650
2004-04-02,1680
2004-04-03,1490
2004-04-04,3160
2004-04-05,2740
2004-04-06,2730
2004-04-07,2750
2004-04-08,3180
2004-04-09,2590
2004-04-10,2670
2004-04-11,2480
2004-04-12,2640
2004-04-13,2590
2004-04-14,2420
2004-04-15,1960
2004-04-16,1960
2004-04-17,1930
2004-04-18,1640
2004-04-19,1530
2004-04-20,1350
2004-04-21,1230
2004-04-22,1330
2004-04-23,1210
2004-04-24,1090
2004-04-25,862
2004-04-26,710
2004-04-27,645
2004-04-28,456
2004-04-29,349
2004-04-30,311
2004-05-01,324
2004-05-02,368
2004-05-03,465
2004-05-04,493
2004-05-05,471
2004-05-06,725
2004-05-07,1070
2004-05-08,1170
2004-05-09,1480
2004-05-10,2160
2004-05-11,2060
2004-05-12,1910
2004-05-13,1860
2004-05-14,1970
2004-05-15,2200
2004-05-16,2270
2004-05-17,2320
2004-05-18,2230
2004-05-19,1690
2004-05-20,1480
2004-05-21,1430
2004-05-22,1260
2004-05-23,1430
2004-05-24,1560
2004-05-25,1520
2004-05-26,1320
2004-05-27,1200
2004-05-28,947
2004-05-29,859
2004-05-30,694
2004-05-31,659
2004-06-01,506
2004-06-02,422
2004-06-03,380
2004-06-04,310
2004-06-05,240
2004-06-06,170
2004-06-07,190
2004-06-08,168
2004-06-09,172
2004-06-10,191
2004-06-11,196
2004-06-12,173
2004-06-13,171
2004-06-14,152
2004-06-15,140
2004-06-16,118
2004-06-17,117
2004-06-18,112
2004-06-19,103
2004-06-20,92
2004-06-21,79
2004-06-22,71.9
2004-06-23,61.4
2004-06-24,54.4
2004-06-25,46.6
2004-06-26,42.8
2004-06-27,40.1
2004-06-28,39.6
2004-06-29,101
2004-06-30,290
2004-07-01,272
2004-07-02,258
2004-07-03,224
2004-07-04,157
2004-07-05,144
2004-07-06,119
2004-07-07,79.8
2004-07-08,45.2
2004-07-09,38.7
2004-07-10,33.5
2004-07-11,27
2004-07-12,24.6
2004-07-13,18.2
2004-07-14,14.4
2004-07-15,15.4
2004-07-16,16.1
2004-07-17,16.6
2004-07-18,17.4
2004-07-19,17.7
2004-07-20,18.3
2004-07-21,18.7
2004-07-22,48
2004-07-23,249
2004-07-24,398
2004-07-25,712
2004-07-26,630
2004-07-27,1040
2004-07-28,866
2004-07-29,1230
2004-07-30,812
2004-07-31,212
2004-08-01,138
2004-08-02,104
2004-08-03,375
2004-08-04,155
2004-08-05,137
2004-08-06,150
2004-08-07,100
2004-08-08,70
2004-08-09,45
2004-08-10,17.7
2004-08-11,8
2004-08-12,10
2004-08-13,5
2004-08-14,7.43
2004-08-15,0
2004-08-16,30.2
2004-08-17,344
2004-08-18,333
2004-08-19,156
2004-08-20,74.5
2004-08-21,51.6
2004-08-22,45
2004-08-23,46.3
2004-08-24,57.7
2004-08-25,12.3
2004-08-26,12.9
2004-08-27,14.1
2004-08-28,11.8
2004-08-29,9.34
2004-08-30,7.67
2004-08-31,4.86
2004-09-01,1.89
2004-09-02,7.01
2004-09-03,5.42
2004-09-04,4.61
2004-09-05,5.91
2004-09-06,5.53
2004-09-07,2.2
2004-09-08,0.86
2004-09-09,0
2004-09-10,0.09
2004-09-11,0
2004-09-12,0.77
2004-09-13,0.82
2004-09-14,0.81
2004-09-15,0.73
2004-09-16,0.46
2004-09-17,1.13
2004-09-18,1.5
2004-09-19,1.77
2004-09-20,1.86
2004-09-21,2.54
2004-09-22,2.31
2004-09-23,1.78
2004-09-24,4.72
2004-09-25,5.22
2004-09-26,2.86
2004-09-27,2.05
2004-09-28,1.47
2004-09-29,2.73
2004-09-30,2.15
2004-10-01,2.69
2004-10-02,9.13
2004-10-03,13.8
2004-10-04,4.38
2004-10-05,4.25
2004-10-06,124
2004-10-07,278
2004-10-08,473
2004-10-09,229
2004-10-10,174
2004-10-11,164
2004-10-12,199
2004-10-13,260
2004-10-14,273
2004-10-15,245
2004-10-16,330
2004-10-17,248
2004-10-18,200
2004-10-19,166
2004-10-20,146
2004-10-21,137
2004-10-22,129
2004-10-23,130
2004-10-24,113
2004-10-25,111
2004-10-26,108
2004-10-27,135
2004-10-28,113
2004-10-29,120
2004-10-30,186
2004-10-31,211
2004-11-01,321
2004-11-02,365
2004-11-03,374
2004-11-04,391
2004-11-05,398
2004-11-06,433
2004-11-07,467
2004-11-08,482
2004-11-09,491
2004-11-10,515
2004-11-11,581
2004-11-12,675
2004-11-13,698
2004-11-14,721
2004-11-15,730
2004-11-16,741
2004-11-17,756
2004-11-18,799
2004-11-19,830
2004-11-20,851
2004-11-21,836
2004-11-22,860
2004-11-23,867
2004-11-24,889
2004-11-25,962
2004-11-26,854
2004-11-27,848
2004-11-28,846
2004-11-29,832
2004-11-30,803
2004-12-01,821
2004-12-02,792
2004-12-03,787
2004-12-04,762
2004-12-05,708
2004-12-06,756
2004-12-07,758
2004-12-08,767
2004-12-09,848
2004-12-10,882
2004-12-11,886
2004-12-12,892
2004-12-13,888
2004-12-14,892
2004-12-15,901
2004-12-16,943
2004-12-17,947
2004-12-18,953
2004-12-19,953
2004-12-20,957
2004-12-21,970
2004-12-22,976
2004-12-23,968
2004-12-24,951
2004-12-25,899
2004-12-26,704
2004-12-27,662
2004-12-28,641
2004-12-29,628
2004-12-30,569
2004-12-31,613
2005-01-01,641
2005-01-02,712
2005-01-03,760
2005-01-04,823
2005-01-05,925
2005-01-06,1040
2005-01-07,886
2005-01-08,871
2005-01-09,801
2005-01-10,696
2005-01-11,660
2005-01-12,766
2005-01-13,763
2005-01-14,774
2005-01-15,779
2005-01-16,785
2005-01-17,782
2005-01-18,788
2005-01-19,785
2005-01-20,766
2005-01-21,652
2005-01-22,610
2005-01-23,601
2005-01-24,629
2005-01-25,640
2005-01-26,652
2005-01-27,691
2005-01-28,771
2005-01-29,980
2005-01-30,860
2005-01-31,785
2005-02-01,799
2005-02-02,771
2005-02-03,774
2005-02-04,769
2005-02-05,766
2005-02-06,763
2005-02-07,730
2005-02-08,724
2005-02-09,730
2005-02-10,744
2005-02-11,771
2005-02-12,805
2005-02-13,970
2005-02-14,1230
2005-02-15,1090
2005-02-16,989
2005-02-17,1000
2005-02-18,1020
2005-02-19,1090
2005-02-20,1250
2005-02-21,1290
2005-02-22,1370
2005-02-23,1270
2005-02-24,1220
2005-02-25,1340
2005-02-26,1610
2005-02-27,1580
2005-02-28,1490
2005-03-01,1380
2005-03-02,1370
2005-03-03,1260
2005-03-04,1450
2005-03-05,1190
2005-03-06,1040
2005-03-07,1020
2005-03-08,1090
2005-03-09,905
2005-03-10,750
2005-03-11,705
2005-03-12,660
2005-03-13,653
2005-03-14,671
2005-03-15,787
2005-03-16,997
2005-03-17,1180
2005-03-18,1160
2005-03-19,1010
2005-03-20,980
2005-03-21,1040
2005-03-22,974
2005-03-23,983
2005-03-24,895
2005-03-25,898
2005-03-26,943
2005-03-27,955
2005-03-28,987
2005-03-29,857
2005-03-30,779
2005-03-31,646
2005-04-01,581
2005-04-02,611
2005-04-03,550
2005-04-04,540
2005-04-05,494
2005-04-06,552
2005-04-07,484
2005-04-08,439
2005-04-09,500
2005-04-10,722
2005-04-11,1010
2005-04-12,1110
2005-04-13,950
2005-04-14,1090
2005-04-15,1330
2005-04-16,1740
2005-04-17,2210
2005-04-18,3400
2005-04-19,2930
2005-04-20,3300
2005-04-21,3880
2005-04-22,3870
2005-04-23,3950
2005-04-24,4360
2005-04-25,4850
2005-04-26,4640
2005-04-27,4530
2005-04-28,4670
2005-04-29,4510
2005-04-30,4430
2005-05-01,4440
2005-05-02,4300
2005-05-03,4290
2005-05-04,4270
2005-05-05,3930
2005-05-06,3910
2005-05-07,3740
2005-05-08,3690
2005-05-09,3680
2005-05-10,3620
2005-05-11,3620
2005-05-12,3680
2005-05-13,4060
2005-05-14,4290
2005-05-15,4450
2005-05-16,4770
2005-05-17,4830
2005-05-18,5080
2005-05-19,4880
2005-05-20,4790
2005-05-21,4880
2005-05-22,5220
2005-05-23,5440
2005-05-24,5560
2005-05-25,5500
2005-05-26,5650
2005-05-27,5430
2005-05-28,5040
2005-05-29,5050
2005-05-30,5380
2005-05-31,5390
2005-06-01,5300
2005-06-02,5030
2005-06-03,5180
2005-06-04,5630
2005-06-05,5850
2005-06-06,5980
2005-06-07,5950
2005-06-08,5950
2005-06-09,5700
2005-06-10,5770
2005-06-11,5440
2005-06-12,5290
2005-06-13,5030
2005-06-14,4850
2005-06-15,4780
2005-06-16,4810
2005-06-17,4460
2005-06-18,4150
2005-06-19,3980
2005-06-20,3980
2005-06-21,3790
2005-06-22,3520
2005-06-23,3450
2005-06-24,3420
2005-06-25,3510
2005-06-26,3380
2005-06-27,3140
2005-06-28,2590
2005-06-29,2220
2005-06-30,2100
2005-07-01,1980
2005-07-02,1630
2005-07-03,1470
2005-07-04,1120
2005-07-05,1010
2005-07-06,881
2005-07-07,740
2005-07-08,594
2005-07-09,539
2005-07-10,534
2005-07-11,484
2005-07-12,415
2005-07-13,359
2005-07-14,303
2005-07-15,254
2005-07-16,217
2005-07-17,210
2005-07-18,197
2005-07-19,165
2005-07-20,183
2005-07-21,147
2005-07-22,124
2005-07-23,118
2005-07-24,114
2005-07-25,95.5
2005-07-26,96.7
2005-07-27,86.8
2005-07-28,82.9
2005-07-29,81.5
2005-07-30,80.3
2005-07-31,73.6
2005-08-01,70.7
2005-08-02,70.7
2005-08-03,70.5
2005-08-04,64.9
2005-08-05,61.6
2005-08-06,62.1
2005-08-07,62
2005-08-08,62
2005-08-09,61
2005-08-10,73
2005-08-11,57.7
2005-08-12,58
2005-08-13,219
2005-08-14,252
2005-08-15,633
2005-08-16,765
2005-08-17,412
2005-08-18,288
2005-08-19,248
2005-08-20,256
2005-08-21,232
2005-08-22,195
2005-08-23,133
2005-08-24,99.2
2005-08-25,81
2005-08-26,82.2
2005-08-27,82
2005-08-28,81.6
2005-08-29,82.2
2005-08-30,78.1
2005-08-31,75.3
2005-09-01,72.5
2005-09-02,68.3
2005-09-03,342
2005-09-04,81.8
2005-09-05,208
2005-09-06,192
2005-09-07,269
2005-09-08,197
2005-09-09,307
2005-09-10,355
2005-09-11,388
2005-09-12,183
2005-09-13,99.7
2005-09-14,87.1
2005-09-15,63.8
2005-09-16,61.2
2005-09-17,61.2
2005-09-18,59.3
2005-09-19,56
2005-09-20,54.1
2005-09-21,53.4
2005-09-22,45
2005-09-23,44.6
2005-09-24,47.2
2005-09-25,44.9
2005-09-26,43.5
2005-09-27,41.7
2005-09-28,41.3
2005-09-29,339
2005-09-30,791
2005-10-01,1370
2005-10-02,1270
2005-10-03,838
2005-10-04,489
2005-10-05,371
2005-10-06,339
2005-10-07,384
2005-10-08,346
2005-10-09,309
2005-10-10,338
2005-10-11,468
2005-10-12,467
2005-10-13,446
2005-10-14,402
2005-10-15,347
2005-10-16,337
2005-10-17,454
2005-10-18,472
2005-10-19,367
2005-10-20,428
2005-10-21,456
2005-10-22,468
2005-10-23,362
2005-10-24,295
2005-10-25,263
2005-10-26,210
2005-10-27,196
2005-10-28,154
2005-10-29,133
2005-10-30,127
2005-10-31,162
2005-11-01,457
2005-11-02,603
2005-11-03,699
2005-11-04,746
2005-11-05,762
2005-11-06,763
2005-11-07,712
2005-11-08,718
2005-11-09,721
2005-11-10,724
2005-11-11,732
2005-11-12,742
2005-11-13,754
2005-11-14,807
2005-11-15,823
2005-11-16,836
2005-11-17,918
2005-11-18,944
2005-11-19,996
2005-11-20,1010
2005-11-21,991
2005-11-22,1000
2005-11-23,1000
2005-11-24,1020
2005-11-25,996
2005-11-26,990
2005-11-27,989
2005-11-28,968
2005-11-29,964
2005-11-30,993
2005-12-01,980
2005-12-02,933
2005-12-03,943
2005-12-04,890
2005-12-05,869
2005-12-06,838
2005-12-07,822
2005-12-08,873
2005-12-09,873
2005-12-10,780
2005-12-11,654
2005-12-12,613
2005-12-13,596
2005-12-14,584
2005-12-15,792
2005-12-16,943
2005-12-17,892
2005-12-18,850
2005-12-19,740
2005-12-20,724
2005-12-21,722
2005-12-22,722
2005-12-23,724
2005-12-24,732
2005-12-25,766
2005-12-26,775
2005-12-27,761
2005-12-28,768
2005-12-29,779
2005-12-30,862
2005-12-31,873
2006-01-01,854
2006-01-02,797
2006-01-03,784
2006-01-04,789
2006-01-05,780
2006-01-06,826
2006-01-07,859
2006-01-08,814
2006-01-09,690
2006-01-10,664
2006-01-11,649
2006-01-12,634
2006-01-13,625
2006-01-14,586
2006-01-15,580
2006-01-16,548
2006-01-17,536
2006-01-18,535
2006-01-19,530
2006-01-20,534
2006-01-21,538
2006-01-22,543
2006-01-23,575
2006-01-24,594
2006-01-25,600
2006-01-26,575
2006-01-27,576
2006-01-28,581
2006-01-29,573
2006-01-30,578
2006-01-31,577
2006-02-01,596
2006-02-02,610
2006-02-03,635
2006-02-04,645
2006-02-05,652
2006-02-06,642
2006-02-07,660
2006-02-08,662
2006-02-09,665
2006-02-10,664
2006-02-11,657
2006-02-12,653
2006-02-13,650
2006-02-14,654
2006-02-15,646
2006-02-16,599
2006-02-17,584
2006-02-18,613
2006-02-19,620
2006-02-20,621
2006-02-21,620
2006-02-22,623
2006-02-23,620
2006-02-24,614
2006-02-25,620
2006-02-26,627
2006-02-27,632
2006-02-28,595
2006-03-01,523
2006-03-02,474
2006-03-03,414
2006-03-04,388
2006-03-05,425
2006-03-06,432
2006-03-07,419
2006-03-08,374
2006-03-09,342
2006-03-10,310
2006-03-11,312
2006-03-12,351
2006-03-13,345
2006-03-14,279
2006-03-15,217
2006-03-16,179
2006-03-17,180
2006-03-18,182
2006-03-19,180
2006-03-20,180
2006-03-21,176
2006-03-22,171
2006-03-23,171
2006-03-24,174
2006-03-25,175
2006-03-26,176
2006-03-27,166
2006-03-28,160
2006-03-29,162
2006-03-30,159
2006-03-31,147
2006-04-01,153
2006-04-02,158
2006-04-03,157
2006-04-04,156
2006-04-05,148
2006-04-06,145
2006-04-07,143
2006-04-08,148
2006-04-09,150
2006-04-10,149
2006-04-11,152
2006-04-12,161
2006-04-13,166
2006-04-14,173
2006-04-15,179
2006-04-16,178
2006-04-17,183
2006-04-18,204
2006-04-19,177
2006-04-20,184
2006-04-21,174
2006-04-22,175
2006-04-23,176
2006-04-24,174
2006-04-25,175
2006-04-26,177
2006-04-27,176
2006-04-28,174
2006-04-29,174
2006-04-30,172
2006-05-01,176
2006-05-02,180
2006-05-03,172
2006-05-04,170
2006-05-05,169
2006-05-06,169
2006-05-07,171
2006-05-08,172
2006-05-09,172
2006-05-10,170
2006-05-11,169
2006-05-12,178
2006-05-13,182
2006-05-14,192
2006-05-15,185
2006-05-16,180
2006-05-17,173
2006-05-18,175
2006-05-19,171
2006-05-20,165
2006-05-21,163
2006-05-22,160
2006-05-23,148
2006-05-24,144
2006-05-25,154
2006-05-26,161
2006-05-27,166
2006-05-28,170
2006-05-29,172
2006-05-30,174
2006-05-31,182
2006-06-01,190
2006-06-02,190
2006-06-03,190
2006-06-04,191
2006-06-05,191
2006-06-06,192
2006-06-07,190
2006-06-08,188
2006-06-09,186
2006-06-10,192
2006-06-11,188
2006-06-12,190
2006-06-13,186
2006-06-14,187
2006-06-15,186
2006-06-16,181
2006-06-17,181
2006-06-18,178
2006-06-19,174
2006-06-20,166
2006-06-21,158
2006-06-22,148
2006-06-23,137
2006-06-24,131
2006-06-25,119
2006-06-26,118
2006-06-27,182
2006-06-28,262
2006-06-29,708
2006-06-30,580
2006-07-01,351
2006-07-02,276
2006-07-03,209
2006-07-04,170
2006-07-05,219
2006-07-06,946
2006-07-07,779
2006-07-08,910
2006-07-09,1490
2006-07-10,1000
2006-07-11,742
2006-07-12,601
2006-07-13,722
2006-07-14,398
2006-07-15,242
2006-07-16,203
2006-07-17,136
2006-07-18,115
2006-07-19,168
2006-07-20,108
2006-07-21,94
2006-07-22,86.9
2006-07-23,89.4
2006-07-24,84.2
2006-07-25,72.1
2006-07-26,156
2006-07-27,325
2006-07-28,611
2006-07-29,780
2006-07-30,895
2006-07-31,1130
2006-08-01,3380
2006-08-02,2790
2006-08-03,2240
2006-08-04,3690
2006-08-05,3600
2006-08-06,2130
2006-08-07,4030
2006-08-08,4320
2006-08-09,3410
2006-08-10,4630
2006-08-11,4150
2006-08-12,2390
2006-08-13,1250
2006-08-14,1450
2006-08-15,1860
2006-08-16,2610
2006-08-17,2730
2006-08-18,2740
2006-08-19,2150
2006-08-20,2480
2006-08-21,1660
2006-08-22,2230
2006-08-23,2620
2006-08-24,3210
2006-08-25,2980
2006-08-26,2720
2006-08-27,2100
2006-08-28,1730
2006-08-29,1450
2006-08-30,1210
2006-08-31,925
2006-09-01,576
2006-09-02,500
2006-09-03,363
2006-09-04,363
2006-09-05,171
2006-09-06,194
2006-09-07,265
2006-09-08,344
2006-09-09,356
2006-09-10,681
2006-09-11,599
2006-09-12,496
2006-09-13,458
2006-09-14,359
2006-09-15,245
2006-09-16,189
2006-09-17,166
2006-09-18,122
2006-09-19,94.7
2006-09-20,104
2006-09-21,116
2006-09-22,136
2006-09-23,139
2006-09-24,157
2006-09-25,203
2006-09-26,194
2006-09-27,192
2006-09-28,198
2006-09-29,205
2006-09-30,200
2006-10-01,139
2006-10-02,152
2006-10-03,169
2006-10-04,176
2006-10-05,203
2006-10-06,201
2006-10-07,217
2006-10-08,531
2006-10-09,667
2006-10-10,998
2006-10-11,1370
2006-10-12,1730
2006-10-13,1450
2006-10-14,1530
2006-10-15,1620
2006-10-16,1630
2006-10-17,1530
2006-10-18,1360
2006-10-19,1420
2006-10-20,1490
2006-10-21,1470
2006-10-22,1530
2006-10-23,1650
2006-10-24,1360
2006-10-25,1300
2006-10-26,1320
2006-10-27,1260
2006-10-28,1220
2006-10-29,1350
2006-10-30,1300
2006-10-31,1310
2006-11-01,1370
2006-11-02,1360
2006-11-03,1350
2006-11-04,1360
2006-11-05,1360
2006-11-06,1440
2006-11-07,1560
2006-11-08,1720
2006-11-09,1780
2006-11-10,1750
2006-11-11,1620
2006-11-12,1470
2006-11-13,1400
2006-11-14,1360
2006-11-15,1360
2006-11-16,1360
2006-11-17,1350
2006-11-18,1210
2006-11-19,1220
2006-11-20,1340
2006-11-21,1320
2006-11-22,1290
2006-11-23,1300
2006-11-24,1300
2006-11-25,1270
2006-11-26,1240
2006-11-27,1240
2006-11-28,1260
2006-11-29,1300
2006-11-30,1270
2006-12-01,1250
2006-12-02,1210
2006-12-03,1150
2006-12-04,1150
2006-12-05,1130
2006-12-06,1120
2006-12-07,1100
2006-12-08,1070
2006-12-09,1040
2006-12-10,1100
2006-12-11,1160
2006-12-12,1150
2006-12-13,1210
2006-12-14,1260
2006-12-15,1270
2006-12-16,1250
2006-12-17,1270
2006-12-18,1310
2006-12-19,1290
2006-12-20,1350
2006-12-21,1320
2006-12-22,1290
2006-12-23,1260
2006-12-24,1240
2006-12-25,1200
2006-12-26,1190
2006-12-27,1190
2006-12-28,1160
2006-12-29,1040
2006-12-30,1020
2006-12-31,1060
2007-01-01,1170
2007-01-02,1130
2007-01-03,1100
2007-01-04,1110
2007-01-05,1100
2007-01-06,1050
2007-01-07,1070
2007-01-08,1130
2007-01-09,1080
2007-01-10,987
